t,O2,H2,H2O,Cl2,HCl
1.35,0.5445644385539238,0.3514722648005201,0.9108711228921529,0.2623433876926728,1.475313224614655
1.36,0.5444160154936847,0.34950855653693363,0.911167969012631,0.26067652554956444,1.4786469489008718
1.37,0.5442687770895516,0.3475672590688402,0.9114624458208972,0.2590297048897372,1.4819405902205263
1.3800000000000001,0.5441227057221056,0.3456479862639524,0.911754588555789,0.25740257481974116,1.4851948503605183
1.3900000000000001,0.5439777842094421,0.34375036087803074,0.912044431581116,0.25579479245914655,1.4884104150817077
1.4000000000000001,0.5438339957912537,0.3418740142989852,0.9123320084174928,0.25420602271647774,1.4915879545670452
1.41,0.5436913241136627,0.34001858629982334,0.9126173517726747,0.25263593807249773,1.4947281238550052
1.42,0.5435497532147595,0.33818372480008835,0.912900493570481,0.2510842183705691,1.4978315632588624
1.43,0.5434092675108078,0.3363690856354453,0.9131814649783844,0.24955055061382947,1.5008988987723417
1.44,0.5432698517830808,0.33457433233509143,0.9134602964338383,0.2480346287689295,1.5039307424621418
1.45,0.5431314911652936,0.33279913590667964,0.9137370176694128,0.24653615357609227,1.5069276928478161
1.46,0.5429941711315986,0.33104317462845967,0.9140116577368027,0.2450548323652621,1.5098903352694764
1.47,0.5428578774851159,0.32930613384835317,0.9142842450297681,0.243590378878121,1.5128192422437585
1.48,0.5427225963469672,0.32758770578969376,0.9145548073060655,0.24214251309575902,1.5157149738084825
1.49,0.5425883141457892,0.32588758936337325,0.9148233717084214,0.2407109610717944,1.5185780778564117
1.5,0.5424550176077002,0.32420548998614745,0.9150899647845995,0.2392954547707466,1.5214090904585074
1.51,0.542322693746696,0.3225411194048662,0.915354612506608,0.23789573191147387,1.5242085361770528
1.52,0.5421913298554536,0.32089419552640186,0.9156173402890927,0.23651153581549422,1.526976928369012
1.53,0.5420609134965222,0.31926444225306083,0.9158781730069555,0.23514261526001595,1.5297147694799684
1.54,0.5419314324938801,0.31765158932327153,0.9161371350122396,0.23378872433551076,1.5324225513289789
1.55,0.5418028749248411,0.31605537215735185,0.9163942501503174,0.2324496223076689,1.5351007553846625
1.56,0.5416752291122918,0.31447553170816694,0.9166495417754159,0.23112507348358255,1.5377498530328353
1.57,0.5415484836172432,0.31291181431649606,0.9169030327655131,0.22981484708200892,1.5403703058359826
1.58,0.5414226272316819,0.311363971570936,0.9171547455366357,0.2285187171075714,1.5429625657848576
1.59,0.541297648971706,0.3098317601721741,0.9174047020565876,0.22723646222876148,1.5455270755424775
1.6,0.5411735380709312,0.30831494180147323,0.9176529238581372,0.22596786565961027,1.54806426868078
1.61,0.5410502839741553,0.3068132829932145,0.9178994320516888,0.2247127150449031,1.5505745699101943
1.62,0.5409278763312683,0.30532655501135314,0.9181442473374629,0.2234708023488159,1.5530583953023687
1.6300000000000001,0.540806304991395,0.30385453372964705,0.9183873900172095,0.22224192374685636,1.5555161525062877
1.6400000000000001,0.5406855599972624,0.30239699951552296,0.9186288800054746,0.22102587952099742,1.5579482409580057
1.6500000000000001,0.5405656315797782,0.3009537371174522,0.9188687368404431,0.21982247395789517,1.5603550520842102
1.6600000000000001,0.5404465101528123,0.2995245355557122,0.919106979694375,0.218631515250087,1.5627369694998265
1.67,0.5403281863081719,0.29810918801641434,0.9193436273836559,0.21745281540007,1.5650943691998607
1.68,0.5402106508107609,0.29670749174868555,0.9195786983784779,0.21628619012716316,1.5674276197456742
1.69,0.5400938945939157,0.2953192479648928,0.9198122108121685,0.21513145877706089,1.5697370824458787
1.7,0.5399779087549088,0.2939442617438064,0.9200441824901823,0.2139884442339883,1.572023111532024
1.71,0.539862684550614,0.29258234193660104,0.9202746308987719,0.2128569728353726,1.5742860543292554
1.72,0.5397482133933247,0.2912333010755973,0.9205035732133507,0.2117368742889477,1.5765262514221052
1.73,0.5396344868467191,0.2898969552856506,0.920731026306562,0.21062798159221227,1.578744036815576
1.74,0.5395214966219667,0.28857312419809844,0.9209570067560667,0.20953013095416478,1.580939738091671
1.75,0.5394092345739687,0.2872616308671789,0.9211815308520628,0.20844316171924124,1.5831136765615181
1.76,0.5392976926977271,0.28596230168883885,0.921404614604546,0.20736691629338447,1.5852661674132316
1.77,0.5391868631248373,0.2846749663218513,0.9216262737503255,0.20630124007217637,1.5873975198556478
1.78,0.5390767381200993,0.2833994576111657,0.9218465237598017,0.20524598137096697,1.5895080372580666
1.79,0.5389673100782405,0.2821356115134173,0.9220653798435193,0.20420099135693617,1.5915980172861282
1.8,0.5388585715207489,0.2808832670245251,0.9222828569585027,0.20316612398302725,1.593667752033946
1.81,0.5387505150928086,0.27964226610930953,0.9224989698143832,0.20214123592369224,1.595717528152616
1.82,0.5386431335603362,0.2784124536330648,0.922713732879328,0.20112618651239234,1.5977476269752158
1.83,0.538536419807112,0.2771936772950222,0.9229271603857765,0.20012083768079816,1.5997583246384042
1.84,0.5384303668320034,0.2759857875636434,0.9231392663359936,0.1991250538996365,1.6017498922007276
1.85,0.5383249677462766,0.2747886376136856,0.9233500645074473,0.19813870212113233,1.603722595757736
1.86,0.5382202157709924,0.27360208326498153,0.9235595684580156,0.1971616517229966,1.6056766965540075
1.87,0.538116104234484,0.2724259829228798,0.9237677915310326,0.1961937744539119,1.6076124510921768
1.8800000000000001,0.5380126265699118,0.2712601975202935,0.923974746860177,0.19523494438046995,1.6095301112390605
1.8900000000000001,0.5379097763128948,0.27010459046130614,0.9241804473742108,0.19428503783551637,1.6114299243289676
1.9000000000000001,0.5378075470992131,0.2689590275662859,0.9243849058015743,0.19334393336785963,1.613312133264281
1.9100000000000001,0.5377059326625796,0.26782337701846226,0.9245881346748411,0.1924115116933028,1.6151769766133945
1.92,0.5376049268324797,0.2666975093119179,0.9247901463350409,0.19148765564695816,1.617024688706084
1.93,0.5375045235320741,0.2655812972009538,0.9249909529358522,0.19057225013680534,1.6188554997263895
1.94,0.5374047167761639,0.2644746156507844,0.9251905664476728,0.1896651820984565,1.6206696358030872
1.95,0.5373055006692152,0.2633773417895221,0.9253889986615702,0.18876634045109159,1.622467319097817
1.96,0.5372068694034415,0.2622893548614124,0.9255862611931175,0.1878756160545292,1.6242487678909416
1.97,0.5371088172569407,0.26121053618128093,0.9257823654861191,0.18699290166739935,1.6260141966652013
1.98,0.5370113385918855,0.2601407690901563,0.9259773228162296,0.18611809190638517,1.6277638161872297
1.99,0.5369144278527656,0.25907993891203357,0.9261711442944697,0.1852510832065025,1.629497833586995
2,0.5368180795646784,0.25802793291174325,0.9263638408706439,0.18439177378238647,1.631216452435227
2.0100000000000002,0.5367222883316691,0.2569846402538942,0.9265554233366625,0.183540063590556,1.632919872818888
2.02,0.536627048835115,0.25594995196285747,0.9267459023297706,0.18269585429262736,1.6346082914147453
2.0300000000000002,0.5365323558321554,0.2549237608837605,0.9269352883356898,0.1818590492194496,1.6362819015611008
2.04,0.5364382041541639,0.2539059616444628,0.9271235916916728,0.18102955333613488,1.6379408933277302
2.05,0.5363445887052624,0.2528964506184829,0.927310822589476,0.18020727320795818,1.6395854535840835
2.06,0.5362515044608746,0.25189512588885055,0.9274969910782515,0.17939211696710133,1.641215766065797
2.07,0.5361589464663189,0.25090188721285517,0.9276821070673628,0.17858399428021723,1.6428320114395654
2.08,0.5360669098354379,0.24991663598766697,0.9278661803291247,0.177782816316791,1.644434367366418
2.09,0.5359753897492642,0.24893927521680378,0.9280492205014722,0.1769884957182753,1.6460230085634493
2.1,0.535884381454721,0.24796970947742009,0.9282312370905588,0.17620094656797816,1.6475981068640435
2.11,0.5357938802633564,0.24700784488839475,0.9284122394732879,0.17542008436168194,1.649159831276636
2.12,0.5357038815501107,0.24605358907919467,0.9285922368997791,0.1746458259789731,1.6507083480420537
2.13,0.5356143807521146,0.24510685115949224,0.9287712384957711,0.17387808965526272,1.6522438206894745
2.14,0.5355253733675183,0.24416754168951552,0.9289492532649639,0.17311679495447882,1.6537664100910423
2.15,0.5354368549543493,0.24323557265111043,0.9291262900913017,0.17236186274241153,1.655276274515177
2.16,0.5353488211294007,0.24231085741949518,0.9293023577411987,0.1716132151606934,1.6567735696786132
2.17,0.535261267567145,0.2413933107356874,0.9294774648657103,0.17087077560139716,1.6582584487972056
2.18,0.5351741899986756,0.24048284867958555,0.9296516200026491,0.17013446868223414,1.6597310626355317
2.19,0.5350875842106747,0.23957938864368633,0.9298248315786509,0.16940422022233673,1.6611915595553266
2.2,0.5350014460444056,0.2386828493074207,0.9299971079111892,0.1686799572186093,1.6626400855627814
2.21,0.5349157713947297,0.2377931506120916,0.9301684572105409,0.1679616078226319,1.6640767843547362
2.22,0.5348305562091472,0.23691021373639667,0.9303388875817059,0.16724910131810194,1.665501797363796
2.23,0.5347457964868603,0.23603396107252034,0.9305084070262797,0.1665423680987994,1.6669152638024012
2.24,0.534661488277859,0.23516431620277972,0.9306770234442822,0.16584133964706133,1.6683173207058775
2.25,0.5345776276820283,0.23430120387680944,0.9308447446359435,0.1651459485127523,1.6697081029744956
2.2600000000000002,0.5344942108482763,0.23344454998927072,0.9310115783034474,0.16445612829271752,1.6710877434145652
2.27,0.5344112339736824,0.23259428155807096,0.9311775320526352,0.16377181361070564,1.672456372778589
2.2800000000000002,0.5343286933026652,0.23175032670308002,0.9313426133946695,0.163092940097749,1.6738141198045022
2.29,0.53424658512617,0.2309126146253299,0.93150682974766,0.16241944437298936,1.6751611112540215
2.3000000000000003,0.5341649057808738,0.23008107558668536,0.9316701884382523,0.16175126402493717,1.6764974719501258
2.31,0.5340836516484095,0.22925564088997286,0.9318326967031809,0.16108833759315325,1.6778233248136936
2.32,0.5340028191546066,0.22843624285955544,0.9319943616907868,0.16043060455034172,1.6791387908993167
2.33,0.5339224047687492,0.22762281482234273,0.9321551904625015,0.15977800528484376,1.6804439894303127
2.34,0.5338424050028509,0.22681529108922377,0.9323151899942982,0.15913048108352146,1.6817390378329573
2.35,0.5337628164109449,0.22601360693691247,0.93247436717811,0.15848797411502205,1.6830240517699562
2.36,0.5336836355883906,0.22521769859019442,0.9326327288232186,0.15785042741341251,1.6842991451731752
2.37,0.5336048591711946,0.2244275032045651,0.9327902816576106,0.15721778486217522,1.6855644302756498
2.38,0.5335264838353466,0.22364295884924923,0.9329470323293065,0.15658999117855535,1.6868200176428896
2.39,0.53344850629617,0.22286400449059177,0.9331029874076596,0.15596699189825103,1.6880660162034982
2.4,0.5333709233076861,0.22209057997581064,0.9332581533846276,0.15534873336043784,1.6893025332791245
2.41,0.5332937316619915,0.2213226260171024,0.9334125366760168,0.15473516269311877,1.6905296746137626
